18, reasoning
23, you
28, i
29, i
30, i
34, i
35, i
36,it
38,something
41, this
41, me
43, swear
44, hashcode
47, api
51, this
56,hell
58,hell
60, this
62, that
63, debugging
64, recommendation
67, this
71,error
75,suck
78, html
79, food
80,bug
82, tabs
93, this
118, test
121, guys
121, this
122, this
126, it
131, you
132, i
140, i
141, i
142, i
147, i
149, i
151, me
152, people
153, comment
154, i
162, comment
163, requests
168, this
169, comment
171, closewithresources
173, he
173, she
174, autodetection
175, it
186,mistake
189, this
192, whoops
196,pain
199, it
206, that
208, it
209, message
210, i
211, i
213, answer
214,problem
218, users
219, this
224,failures
224,shame
226, error
227, which
231, this
237, this
239, they
244,something
246, help
247, formatting
249, it
252, it
253,errors
255,nasty
256, this
263, it
264, it
267, that
272, this
278, issue
287,annoying
290, it
293, that
294, it
294, they
294, it
295,me
297, typo
300, it
303, behavior
305, bug
306,maven
307, example
307, @max
310,snapshot
310,snapshot
311, which
312,unqualified
320, bug
323, it
324, fix
326, this
332, bug
333, it
337, most
339, this
339, it
340,bug
341, one
343, this
345, this
347, it
348, it
353, api
355,ignorance
357, this
359, workaround
361, it
362, i
363, i
364, i
365, hmm
366, it
367,hack
369, this
370, overhaul
371, #ifdefs
372, it
373, this
376, counter
377, this
378, page
379,mistake
380,division
383, that
384, thing
385, you
386,mistake
387, it
388,problem
389, it
393, it
394, i
396, exeption
397, this
398, code
400,it
401, that
403, it
404, it
405, tikaconfig.xml
407, 0002
408, fact
412, it
417, this
418, this
420,this
421, this
421, warning
422, it
423, buttons
427, way
428, solution
429, this
432, what
435, tag
440, this
441, difference
444, above
448, it
449, issue
451, thing
454, it
455, this
456, bug
458, workaround
459, that
461, this
463, it
466, this
471, this
475, it
476,mistake
477, it
480, that
481,code
481,harm
484, page
485, i
496,mistake
497,bug
499, that
501,destinations
503, it
506, scripts
508, it
512, nothing
520, this
527, that
531, this
535, memoryindex
538,me
544, that
545,bug
550, bug
552, warnings
553,mistake
557, i
561, that
564, it
565,something
566, it
568,ignorance
570, @argv1
572, i
573,script
578, it
581, it
583, i
588,connection
589, it
593, >
595, file
596, bug
600,block
602, this
602, also
603,kinda
606,bug
609,trick
610, it
617,shame
618, it
622, it
624, what
626, what
627, i
628,error
635, this
637, some
638, process
643, that
644, this
650,error
651,me
652, zones
654, case
658, antfoo
660, site
660, documentation
663, i
665, it
666, testprogramm
672,bug
674,bug
677, memory
679,refusal
684, this
685, it
689,mistake
695, patch
697, that
699, those
702, it
704, issue
708, what
710, color
719, submodules
722, that
723, it
